Timestamp,Year Level,Program,Mode of Study,Quality of teaching by SOIT faculty,Faculty knowledge of subject matter,Availability of instructors for consultation,Fairness of grading and assessments,Availability of IT support when technical assistance is needed ,Timeliness of IT staff response to reported issues,Effectiveness of IT support in resolving technical problems,"Reliability of IT systems (Wi-Fi, portals, LMS, software platforms)",Classroom and laboratory facilities,Availability and condition of computers/equipment,Internet and network reliability,"Access to learning materials (LMS, library, software tools)",Availability of health services when needed,Quality and timeliness of health service provision,Helpfulness and accuracy of information provided by front office staff,Efficiency of processing requests and transactions,Convenience of office hours and procedures,Academic advising and guidance services,Responsiveness of SOIT staff to student concerns,Effectiveness in handling student concerns and complaints,Career guidance and internship support,Availability of computers for student use in the library,Availability of required books and reference materials,Helpfulness and approachability of library staff,Condition and functionality of library computers,Availability and comfort of library spaces and seating,Cleanliness and sanitation of bathroom facilities,"Availability of toiletries (soap, tissue, etc.)","Availability and reliability of water supply (working faucets, bidets, etc.)",Overall satisfaction with SOIT services,SOIT services meet my academic needs,I would recommend SOIT to other students,Which service do you find most helpful?,What areas need improvement?,Additional comments or suggestions:
2026/02/26 2:03:38 PM GMT+8,2nd Year,Information Technology,Face-to-face,3,4,4,3,3,3,3,4,2,2,3,3,4,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,I guess when it comes to Registrar or health related?,SOIT,"pakiayos ang internet, response time, and pagbaba ng pride"
2026/02/26 2:19:49 PM GMT+8,3rd Year,Data Science,Blended,4,5,5,5,4,4,4,3,5,5,2,5,5,5,4,4,4,5,4,4,4,4,4,5,4,4,3,1,4,4,5,4,I find service to consult with faculty members about their knowledge of expertise extremely helpful in learning. ,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,Please consistently have utilities in the bathroom such as handsoap and tissue papers. 
2026/02/26 2:22:17 PM GMT+8,3rd Year,Data Science,Blended,4,4,4,4,5,5,5,5,4,5,3,4,5,5,5,5,5,5,5,4,5,4,4,4,4,5,4,4,4,4,4,4,IT services,classroom facilities,none
2026/02/26 2:22:58 PM GMT+8,3rd Year,Data Science,Face-to-face,3,4,5,5,2,2,2,1,3,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,"The library, the guidance office, the admissions, and the online learning materials.",The wi-fi and network connectivity within campus. I think their security measure is inefficient AND un-usable.,None. I hope this gets them to fix their wifi lol
2026/02/26 2:30:19 PM GMT+8,3rd Year,Information Technology,Blended,2,4,2,3,3,3,4,2,2,2,2,2,4,4,4,4,2,2,2,2,2,1,2,4,2,1,4,4,4,2,2,2,Health services,Library and Computer Labs,
2026/02/26 3:33:39 PM GMT+8,1st Year,Information Technology,Face-to-face,3,4,3,4,3,4,3,3,5,3,5,3,3,4,4,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,Yung mag sagot,Diko po alam,Maganda yung form hehe
2026/03/02 12:46:25 PM GMT+8,2nd Year,Data Science,Blended,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The clinic,Bathroom,I hope the soon fix some of the mens bathroom clog uniral
2026/03/02 1:12:52 PM GMT+8,2nd Year,Data Science,Face-to-face,3,3,3,3,4,3,4,2,3,4,3,5,4,4,5,4,4,2,3,3,3,5,4,5,5,5,2,2,4,3,3,3,SOIT providing assistance in technical concerns.,How the department handles academic concerns (not necessarily correlated with the department),Wala naman
2026/03/02 1:14:30 PM GMT+8,2nd Year,Data Science,Blended,5,5,4,4,5,4,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,4,4,3,5,5,4,5,5,5,5,,,
2026/03/02 1:18:50 PM GMT+8,2nd Year,Data Science,Blended,2,4,2,5,5,5,5,5,5,1,2,2,5,5,5,5,5,4,2,2,1,5,5,5,5,5,5,5,5,5,5,5,Academic Assitance,Efficiency of teaching,Increase support on internship and career finding
2026/03/02 1:59:37 PM GMT+8,3rd Year,Data Science,Blended,5,5,5,5,5,5,5,5,1,1,1,1,3,3,4,5,5,4,4,5,4,4,5,5,3,4,5,5,5,4,5,4,Treasury,MAPUA Wifi,Better wifi and restroom facilities
2026/03/02 1:59:47 PM GMT+8,3rd Year,Data Science,Online,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,DO - IT,Mapua Wifi,Mapua services is great keep up the food work 😀
2026/03/02 2:06:18 PM GMT+8,3rd Year,Data Science,Blended,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Library,Student lounge,
2026/03/02 2:06:31 PM GMT+8,2nd Year,Data Science,Blended,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,4,4,5,5,5,5,4,5,5,4,5,4,5,5,Wi-Fi,consultation,Great lectures
2026/03/02 2:12:04 PM GMT+8,3rd Year,Data Science,Face-to-face,4,5,5,5,3,4,4,3,4,4,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,4,3,4,4,3,SOIT dept,Everything ,
2026/03/02 02:52:52 PM GMT+8,1st Year,Data Science,Blended,3,5,2,5,2,4,5,5,4,1,1,2,5,5,5,5,5,3,2,5,4,5,5,5,4,5,3,4,5,4,3,5,IT services,classroom facilities,Increase support on internship and career finding
2026/03/02 03:53:41 PM GMT+8,3rd Year,Data Science,Blended,4,5,4,4,3,2,5,3,4,4,1,1,5,5,4,3,4,5,2,4,4,1,5,3,5,3,5,5,3,4,5,5,Yung mag sagot,classroom facilities,I hope the soon fix some of the mens bathroom clog uniral
2026/03/02 05:38:41 PM GMT+8,3rd Year,Data Science,Face-to-face,3,4,4,4,5,5,3,5,4,5,3,5,5,5,4,5,5,5,5,5,3,4,5,5,5,5,5,5,4,4,3,4,Wi-Fi,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,none
2026/03/02 07:13:47 PM GMT+8,2nd Year,Data Science,Blended,5,5,4,4,3,3,5,5,5,5,5,4,4,5,5,5,5,4,2,4,5,4,5,4,4,5,5,5,5,2,2,5,IT services,consultation,Maganda yung form hehe
2026/03/02 08:22:26 PM GMT+8,3rd Year,Information Technology,Blended,4,4,5,4,4,4,5,2,5,4,5,4,3,5,5,4,5,2,4,4,4,5,5,5,5,4,5,4,4,4,5,5,The clinic,SOIT,Maganda yung form hehe
2026/03/02 09:03:07 PM GMT+8,3rd Year,Data Science,Face-to-face,5,4,2,5,3,4,3,3,4,2,4,3,4,5,5,4,5,5,2,5,5,4,4,4,5,1,5,4,5,5,5,4,SOIT dept,Student lounge,Wala naman
2026/03/02 09:22:25 PM GMT+8,2nd Year,Data Science,Blended,5,5,5,3,5,3,5,5,5,5,5,5,4,4,5,3,5,4,4,4,5,5,5,4,5,5,5,5,5,2,5,5,I find service to consult with faculty members about their knowledge of expertise extremely helpful in learning. ,consultation,Mapua services is great keep up the food work 😀
2026/03/02 11:16:25 PM GMT+8,3rd Year,Data Science,Online,5,5,4,4,5,4,2,5,4,4,4,5,4,5,5,5,5,5,4,5,1,5,2,4,2,5,3,4,4,4,2,2,"The library, the guidance office, the admissions, and the online learning materials.",Diko po alam,Great lectures
2026/03/03 12:26:30 AM GMT+8,2nd Year,Information Technology,Blended,5,3,5,5,3,3,4,5,5,3,3,5,5,3,4,3,5,5,4,4,5,5,5,5,5,3,4,5,5,5,5,5,I find service to consult with faculty members about their knowledge of expertise extremely helpful in learning. ,Library and Computer Labs,Mapua services is great keep up the food work 😀
2026/03/03 01:36:19 AM GMT+8,3rd Year,Information Technology,Face-to-face,4,5,4,5,5,4,4,3,4,4,4,5,4,5,5,5,5,5,5,2,5,1,4,5,5,5,2,4,4,2,5,5,I guess when it comes to Registrar or health related?,MAPUA Wifi,Increase support on internship and career finding
2026/03/03 03:25:34 AM GMT+8,2nd Year,Data Science,Blended,3,5,5,5,5,4,5,2,5,5,3,3,4,5,5,4,3,5,2,4,3,5,4,5,4,4,5,1,5,4,5,2,Treasury,Library and Computer Labs,Better wifi and restroom facilities
2026/03/03 04:55:48 AM GMT+8,2nd Year,Data Science,Blended,4,4,5,5,5,4,4,5,4,5,5,5,4,5,4,5,2,5,4,4,5,5,5,3,4,3,4,5,5,4,4,5,Yung mag sagot,The wi-fi and network connectivity within campus. I think their security measure is inefficient AND un-usable.,Mapua services is great keep up the food work 😀
2026/03/03 05:42:44 AM GMT+8,3rd Year,Data Science,Blended,4,4,5,4,5,2,3,3,5,2,2,1,5,4,5,5,5,3,5,3,3,5,5,5,3,3,5,5,4,5,5,4,Health services,How the department handles academic concerns (not necessarily correlated with the department),Wala naman
2026/03/03 07:13:25 AM GMT+8,3rd Year,Data Science,Blended,3,4,3,4,4,4,4,3,5,4,5,2,5,5,5,3,5,2,4,4,5,4,5,4,5,4,4,5,4,4,3,3,DO - IT,Efficiency of teaching,Great lectures
2026/03/03 08:48:06 AM GMT+8,1st Year,Data Science,Blended,4,4,5,5,4,4,5,5,5,5,2,4,5,5,5,5,5,5,5,4,5,5,4,3,3,5,5,5,5,4,5,5,Health services,The wi-fi and network connectivity within campus. I think their security measure is inefficient AND un-usable.,Increase support on internship and career finding
2026/03/03 09:27:51 AM GMT+8,2nd Year,Data Science,Blended,3,4,2,5,5,5,4,5,3,5,5,2,4,5,3,5,4,5,5,2,5,4,3,4,4,5,2,1,5,5,5,5,IT services,The wi-fi and network connectivity within campus. I think their security measure is inefficient AND un-usable.,I hope the soon fix some of the mens bathroom clog uniral
2026/03/03 10:45:47 AM GMT+8,2nd Year,Data Science,Face-to-face,2,4,4,5,5,5,5,5,3,1,1,5,3,5,5,5,5,4,2,5,5,5,5,4,5,4,4,1,5,4,2,5,Treasury,Student lounge,Wala naman
2026/03/03 11:05:49 AM GMT+8,2nd Year,Information Technology,Face-to-face,4,4,3,4,3,5,3,5,4,4,2,1,5,4,4,5,5,5,3,2,5,4,5,5,5,4,5,5,4,4,5,5,Library,Library and Computer Labs,Increase support on internship and career finding
2026/03/03 11:58:41 AM GMT+8,2nd Year,Data Science,Blended,5,4,5,4,4,3,4,4,5,1,4,1,5,4,5,3,3,5,4,4,4,3,5,4,3,5,3,4,5,4,5,5,Yung mag sagot,Everything ,none
2026/03/03 01:01:49 PM GMT+8,3rd Year,Data Science,Face-to-face,4,4,5,5,2,3,4,5,5,1,1,5,5,4,4,5,4,5,2,4,1,5,4,5,5,3,5,4,5,4,4,5,SOIT dept,How the department handles academic concerns (not necessarily correlated with the department),None. I hope this gets them to fix their wifi lol
2026/03/03 02:21:33 PM GMT+8,2nd Year,Data Science,Face-to-face,3,4,4,3,5,3,4,2,5,5,3,4,5,5,5,4,3,5,5,3,4,4,4,5,5,5,4,4,5,4,4,5,The clinic,Library and Computer Labs,I hope the soon fix some of the mens bathroom clog uniral
2026/03/03 02:38:00 PM GMT+8,2nd Year,Data Science,Face-to-face,5,5,5,5,4,2,5,3,4,3,3,4,3,3,3,5,5,2,2,4,2,4,4,5,5,5,5,5,4,4,5,4,IT services,SOIT,none
2026/03/03 02:54:05 PM GMT+8,2nd Year,Information Technology,Face-to-face,2,4,5,5,4,3,5,4,3,4,4,2,4,4,5,4,2,5,5,3,5,5,2,5,3,5,4,5,5,5,3,5,IT services,MAPUA Wifi,Better wifi and restroom facilities
2026/03/03 04:31:42 PM GMT+8,3rd Year,Data Science,Blended,4,5,5,4,5,4,4,5,4,5,2,5,4,5,5,3,2,5,4,5,5,5,4,5,5,5,4,3,5,3,5,4,SOIT providing assistance in technical concerns.,How the department handles academic concerns (not necessarily correlated with the department),None. I hope this gets them to fix their wifi lol
2026/03/03 05:34:36 PM GMT+8,3rd Year,Data Science,Face-to-face,5,4,5,5,3,3,4,5,5,2,5,3,5,4,3,4,3,2,3,5,1,5,4,4,3,1,2,5,5,4,5,5,Treasury,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,None. I hope this gets them to fix their wifi lol
2026/03/03 07:03:47 PM GMT+8,2nd Year,Data Science,Blended,2,5,5,4,4,5,4,4,4,4,5,4,4,4,5,5,3,5,2,2,5,5,5,5,4,5,5,5,5,5,5,5,IT services,classroom facilities,"pakiayos ang internet, response time, and pagbaba ng pride"
2026/03/03 07:21:27 PM GMT+8,2nd Year,Data Science,Blended,3,3,5,5,3,5,4,3,5,5,1,5,3,4,4,5,3,2,3,4,5,4,5,5,5,5,5,4,5,5,5,4,"The library, the guidance office, the admissions, and the online learning materials.",SOIT,None. I hope this gets them to fix their wifi lol
2026/03/03 08:32:38 PM GMT+8,2nd Year,Data Science,Face-to-face,4,4,2,5,4,3,4,4,2,4,3,3,5,5,5,3,5,4,5,2,5,4,4,3,3,1,4,5,5,4,5,2,Yung mag sagot,Everything ,None. I hope this gets them to fix their wifi lol
2026/03/03 08:54:33 PM GMT+8,2nd Year,Data Science,Blended,5,4,5,5,3,4,5,5,5,4,2,5,5,4,5,4,3,5,2,5,5,5,5,5,4,5,5,4,5,4,5,3,I guess when it comes to Registrar or health related?,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,Great lectures
2026/03/03 10:35:36 PM GMT+8,3rd Year,Information Technology,Blended,5,4,5,4,5,4,5,5,4,2,4,3,3,4,4,4,3,5,4,2,5,5,4,5,5,5,2,5,5,5,3,5,DO - IT,How the department handles academic concerns (not necessarily correlated with the department),Please consistently have utilities in the bathroom such as handsoap and tissue papers. 
2026/03/04 12:07:59 AM GMT+8,3rd Year,Data Science,Blended,4,4,5,5,4,5,2,2,1,4,5,5,4,5,5,3,5,5,5,5,4,5,4,5,2,1,3,5,5,5,4,3,Health services,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,Better wifi and restroom facilities
2026/03/04 01:11:32 AM GMT+8,3rd Year,Data Science,Blended,3,5,4,4,3,4,2,4,5,1,2,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,3,5,5,3,5,5,Treasury,Everything ,none
2026/03/04 02:41:35 AM GMT+8,2nd Year,Data Science,Blended,5,4,4,4,3,5,5,4,3,1,5,5,5,5,5,3,5,5,3,4,5,5,5,5,5,5,3,3,5,3,5,4,IT services,The wi-fi and network connectivity within campus. I think their security measure is inefficient AND un-usable.,None. I hope this gets them to fix their wifi lol
2026/03/04 04:26:47 AM GMT+8,3rd Year,Data Science,Face-to-face,5,5,5,4,5,3,4,5,1,5,3,5,3,4,3,4,3,4,5,4,5,4,3,4,5,5,2,1,5,5,5,5,Library,The wi-fi and network connectivity within campus. I think their security measure is inefficient AND un-usable.,I hope the soon fix some of the mens bathroom clog uniral
2026/03/04 05:18:48 AM GMT+8,3rd Year,Data Science,Blended,5,4,4,5,2,5,5,4,5,2,4,5,5,5,3,4,5,5,4,2,5,5,5,3,3,5,4,4,5,4,5,5,Library,The wi-fi and network connectivity within campus. I think their security measure is inefficient AND un-usable.,Wala naman
2026/03/04 05:51:54 AM GMT+8,2nd Year,Data Science,Blended,4,4,3,4,5,2,5,5,5,4,3,4,4,4,4,4,5,2,4,4,3,5,5,4,3,5,4,4,5,4,4,4,"The library, the guidance office, the admissions, and the online learning materials.",consultation,"pakiayos ang internet, response time, and pagbaba ng pride"
2026/03/04 06:45:28 AM GMT+8,3rd Year,Data Science,Online,5,5,5,3,4,4,4,3,2,2,1,5,5,4,5,3,5,5,5,5,4,4,5,4,5,5,5,4,3,4,5,2,IT services,Everything ,None. I hope this gets them to fix their wifi lol
2026/03/04 07:35:02 AM GMT+8,3rd Year,Information Technology,Blended,3,4,5,4,2,3,3,3,5,4,1,5,5,4,4,5,3,4,3,3,5,4,5,5,4,5,3,5,5,5,3,3,I guess when it comes to Registrar or health related?,Bathroom,I hope the soon fix some of the mens bathroom clog uniral
2026/03/04 08:49:01 AM GMT+8,3rd Year,Data Science,Face-to-face,4,4,4,5,3,4,3,4,5,5,3,4,4,4,3,5,5,5,5,4,5,5,5,5,5,5,5,1,5,2,5,5,The clinic,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,Better wifi and restroom facilities
2026/03/04 10:36:08 AM GMT+8,1st Year,Data Science,Blended,5,4,2,5,4,5,4,5,5,5,5,5,4,4,5,4,2,3,3,3,5,5,3,5,5,5,5,4,3,4,5,3,"The library, the guidance office, the admissions, and the online learning materials.",Diko po alam,none
2026/03/04 11:21:15 AM GMT+8,3rd Year,Information Technology,Face-to-face,3,4,5,4,3,5,3,5,1,4,1,1,5,5,4,3,5,5,2,4,5,5,3,5,2,4,5,3,5,2,3,3,Library,Mapua Wifi,Increase support on internship and career finding
2026/03/04 12:18:15 PM GMT+8,3rd Year,Information Technology,Face-to-face,5,4,3,4,5,4,4,5,2,5,3,5,4,5,5,5,5,5,4,3,4,5,3,5,5,1,2,5,4,4,5,5,The clinic,MAPUA Wifi,Wala naman
2026/03/04 01:22:49 PM GMT+8,3rd Year,Information Technology,Blended,3,4,5,5,5,4,3,5,2,4,1,5,4,5,5,5,5,4,5,4,4,5,5,5,3,5,3,2,5,5,5,5,SOIT dept,Mapua Wifi,Maganda yung form hehe
2026/03/04 02:05:11 PM GMT+8,3rd Year,Information Technology,Face-to-face,4,5,4,4,3,5,4,5,3,1,3,5,4,4,4,4,5,3,2,4,5,5,5,4,5,5,3,5,5,5,5,4,The clinic,MAPUA Wifi,Please consistently have utilities in the bathroom such as handsoap and tissue papers. 
2026/03/04 03:15:01 PM GMT+8,3rd Year,Information Technology,Face-to-face,4,4,5,4,5,5,4,5,2,5,5,2,4,4,4,5,3,5,2,2,2,5,4,3,5,3,2,5,5,4,2,5,"The library, the guidance office, the admissions, and the online learning materials.",MAPUA Wifi,Increase support on internship and career finding
2026/03/04 04:11:52 PM GMT+8,2nd Year,Data Science,Blended,5,4,5,3,4,2,4,3,5,2,5,4,4,5,5,5,5,5,4,4,5,5,5,4,2,3,5,5,5,4,5,5,SOIT dept,Library and Computer Labs,I hope the soon fix some of the mens bathroom clog uniral
2026/03/04 04:36:30 PM GMT+8,2nd Year,Information Technology,Face-to-face,3,4,5,3,3,5,4,1,5,4,2,3,5,4,4,4,4,5,5,4,5,5,5,5,5,3,4,4,4,5,5,3,Academic Assitance,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,Increase support on internship and career finding
2026/03/04 06:28:17 PM GMT+8,3rd Year,Data Science,Blended,4,5,5,5,3,5,4,5,3,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,4,3,Health services,Efficiency of teaching,Increase support on internship and career finding
2026/03/04 07:03:39 PM GMT+8,3rd Year,Data Science,Blended,3,4,5,3,4,5,3,4,1,4,5,5,4,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,3,4,The clinic,Bathroom,none
2026/03/04 07:43:14 PM GMT+8,3rd Year,Information Technology,Face-to-face,5,4,3,3,4,4,2,2,2,1,5,2,4,4,4,3,5,5,5,4,5,4,2,5,5,3,4,2,4,3,5,4,The clinic,classroom facilities,"pakiayos ang internet, response time, and pagbaba ng pride"
2026/03/04 08:39:36 PM GMT+8,3rd Year,Data Science,Blended,4,4,5,4,5,4,3,2,5,4,5,1,5,4,4,5,5,5,5,2,2,5,4,5,5,4,5,1,5,4,3,3,SOIT dept,MAPUA Wifi,I hope the soon fix some of the mens bathroom clog uniral
2026/03/04 10:15:03 PM GMT+8,3rd Year,Data Science,Blended,4,5,5,5,2,5,3,5,5,4,5,4,5,5,4,5,5,5,5,5,3,4,5,5,3,5,5,5,5,5,5,5,IT services,Efficiency of teaching,Increase support on internship and career finding
2026/03/04 10:41:33 PM GMT+8,1st Year,Data Science,Blended,4,4,4,4,5,4,3,5,4,1,5,5,4,4,5,5,5,4,5,5,2,5,4,5,4,1,5,3,5,4,2,5,I find service to consult with faculty members about their knowledge of expertise extremely helpful in learning. ,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,Wala naman
2026/03/04 11:02:45 PM GMT+8,2nd Year,Data Science,Face-to-face,2,4,3,4,3,5,5,5,2,4,4,1,4,3,5,5,4,5,2,4,5,5,5,5,5,1,3,4,5,2,5,5,SOIT dept,Efficiency of teaching,Mapua services is great keep up the food work 😀
2026/03/05 12:31:09 AM GMT+8,2nd Year,Data Science,Blended,4,4,5,4,5,4,4,3,4,2,5,2,5,5,5,4,5,5,3,4,4,4,5,5,5,4,5,4,5,5,5,4,Health services,SOIT,"pakiayos ang internet, response time, and pagbaba ng pride"
2026/03/05 01:44:36 AM GMT+8,3rd Year,Data Science,Face-to-face,5,5,3,5,4,5,4,5,5,5,5,5,4,4,5,5,3,5,3,5,2,3,5,3,4,5,4,5,5,4,2,4,Wi-Fi,Everything ,Maganda yung form hehe
2026/03/05 02:51:04 AM GMT+8,2nd Year,Data Science,Blended,4,5,5,3,5,5,3,5,5,5,2,4,5,5,4,5,4,5,2,2,5,5,5,5,5,3,4,5,5,5,5,3,Library,consultation,Great lectures
2026/03/05 03:44:12 AM GMT+8,3rd Year,Data Science,Blended,3,4,5,5,3,4,4,4,4,5,4,5,4,5,4,4,3,4,2,2,3,4,4,4,5,5,3,5,4,2,2,5,DO - IT,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,Great lectures
2026/03/05 04:51:33 AM GMT+8,2nd Year,Data Science,Face-to-face,3,5,5,4,2,5,5,5,3,4,2,2,4,5,4,5,5,4,3,2,5,5,5,5,3,5,2,4,5,5,5,3,Treasury,classroom facilities,None. I hope this gets them to fix their wifi lol
2026/03/05 05:45:50 AM GMT+8,3rd Year,Information Technology,Blended,3,5,5,4,4,4,4,3,5,4,5,3,4,5,4,5,4,5,2,4,5,5,5,5,3,5,5,1,4,3,5,4,IT services,Diko po alam,Please consistently have utilities in the bathroom such as handsoap and tissue papers. 
2026/03/05 07:21:14 AM GMT+8,3rd Year,Data Science,Face-to-face,5,5,3,5,3,5,4,5,2,4,3,1,5,5,5,5,5,5,5,2,5,5,4,5,5,5,5,4,4,4,4,3,Academic Assitance,Diko po alam,Wala naman
2026/03/05 09:17:29 AM GMT+8,3rd Year,Data Science,Face-to-face,5,4,5,5,4,4,4,1,5,4,2,2,5,4,5,3,5,5,5,5,5,1,5,5,4,5,5,5,4,5,4,4,The clinic,The wi-fi and network connectivity within campus. I think their security measure is inefficient AND un-usable.,"pakiayos ang internet, response time, and pagbaba ng pride"
2026/03/05 10:48:03 AM GMT+8,3rd Year,Information Technology,Face-to-face,5,4,4,4,5,4,5,4,4,1,3,5,3,4,5,5,3,5,4,3,5,4,2,5,4,5,5,5,5,3,5,4,Treasury,I would say that the constant changes of the curriculum hinders learning as some batches get unlucky with their curriculum leading to knowledge not being gained compared to other batches. ,Please consistently have utilities in the bathroom such as handsoap and tissue papers. 
2026/03/05 11:01:53 AM GMT+8,3rd Year,Data Science,Blended,5,5,5,5,3,5,5,5,4,3,5,2,4,5,4,4,5,5,5,5,5,5,3,5,4,4,5,5,3,4,4,3,I find service to consult with faculty members about their knowledge of expertise extremely helpful in learning. ,Everything ,Mapua services is great keep up the food work 😀
2026/03/05 11:29:37 AM GMT+8,1st Year,Information Technology,Face-to-face,2,4,3,5,3,5,3,5,5,5,4,3,3,4,4,5,5,5,2,5,3,5,4,4,3,3,2,4,4,4,4,4,IT services,The wi-fi and network connectivity within campus. I think their security measure is inefficient AND un-usable.,"pakiayos ang internet, response time, and pagbaba ng pride"
